Франция,0.168627,0.72549,1,64800
Германия,0.462745,0.462745,0.462745,83150
Россия,0.482353,1,0.360784,146171
Великобритания,1,0.701961,0.701961,64844
Испания,1,0.976471,0.745098,47363
Португалия,0.478431,0.72549,0.466667,10297
Ирландия,0.694118,1,0.596078,4985
Швейцария,0.92549,0.411765,0.411765,8636
Италия,0.631373,1,0.733333,59257
Мальта,0.611765,0.121569,0.603922,515
Польша,1,0.478431,0.870588,37899
Украина,0.498039,0.788235,1,41418
Дания,0.74902,0.298039,0.298039,5840
Швеция,0.345098,0.984314,1,10353
Норвегия,0.505882,0.478431,0.380392,5379
Финляндия,1,1,1,5529
Исландия,0.701961,0.843137,0.921569,366
Бельгия,0.976471,1,0.54902,11544
Нидерланды,1,0.870588,0.560784,17441
Люксембург,0.556863,1,0.968627,630
Чехия,0.345098,1,0.968627,10697
Австрия,1,1,1,8916
Венгрия,1,0.694118,0.980392,9750
Словакия,0.941176,0.937255,0.815686,5458
Сербия,0.266667,0.329412,1,6871
Хорватия,1,0.305882,0.941176,4047
Словения,0,0.952941,0.686275,2102
Босния и Герцеговина,0.929412,0.929412,0.870588,3496
Черногория,0.152941,0.25098,0.588235,620
Македония,0.988235,0.67451,0.67451,2068
Болгария,0.403922,0.843137,0.439216,6934
Греция,0.862745,0.521569,0.352941,10700
Албания,0.623529,0.184314,0.921569,2829
Турция,0.807843,0.807843,0.756863,83614
Беларусь,0.886275,0.792157,0.792157,9349
Литва,0.745098,0.741176,0.447059,2783
Латвия,0.803922,0.376471,1,1893
Эстония,0.454902,1,0.898039,1330
Румыния,1,0.94902,0.388235,19257
Молдавия,1,0.772549,0.45098,2597
Сирия,0.090196,0.576471,0.72549,21377
Ливан,1,0.811765,0.247059,6830
Израиль,0.47451,1,0.964706,9100
Палестина,1,0.529412,0.529412,2500
Ирак,0.831373,0.815686,0.584314, 40575
Иран,0.05098,0.701961,0.364706,77678
Кувейт,0.627451,0.619608,0,4268
Иордания,0.392157,0.85098,0.282353,10248
Саудовская Аравия,1,0.85098,0.454902,34719
Казахстан,0.317647,1,0.854902,19397
Туркменистан,0.588235,0.807843,0.298039,6430
Узбекистан,0.701961,0.305882,0.713726,34627
Грузия,0.843137,0.627451,0.211765,3744
Азербайджан,0.352941,0.74902,0.67451,10358
Армения,0.509804,0.047059,0.298039,2780
Египет,0.792157,0.784314,0.305882,94117
Ливия,0.486275,0.937255,0.631373,6812
Алжир,0.419608,0.670588,0.27451,44903
Марокко,0.623529,0.529412,0.329412,37457
Северный Кипр,0.560784,0.839216,0.721569,600
Южный Кипр,0.827451,0.584314,0.584314,600
Тунис,0.8,0.509804,0.917647,12356
Газа,0.862745,0.117647,0.294118,2375
